anime_id,title,score,popularity,release_year
40852,Dr. Stone: Stone Wars,8.15,140,2021
30503,Noragami Aragoto,8.14,86,2015
48736,Sono Bisque Doll wa Koi wo Suru,8.14,124,2022
49052,Ao Ashi,8.15,1098,2022
38481,Toaru Kagaku no Railgun T,8.14,1047,2020
34572,Black Clover,8.14,55,2017
49596,Blue Lock,8.15,247,2022
55911,The Fable,8.14,2340,2024
39792,Eizouken ni wa Te wo Dasu na!,8.13,737,2020
54856,Horimiya: Piece,8.13,595,2023
37962,IDOLiSH7 Second Beat!,8.13,4170,2020
48549,Dr. Stone: New World,8.15,429,2023
39592,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,8.13,4708,2019
50709,Lycoris Recoil,8.15,430,2022
3701,Kaiba,8.13,1517,2008
721,Princess Tutu,8.14,1471,2002
4477,Nodame Cantabile: Paris-hen,8.13,1942,2008
28223,Death Parade,8.13,51,2015
56738,Shinigami Bocchan to Kuro Maid 3rd Season,8.13,2969,2024
37430,Tensei shitara Slime Datta Ken,8.13,78,2018
35857,Lupin III: Part 5,8.12,3551,2018
50528,Golden Kamuy 4th Season,8.12,2125,2022
28171,Shokugeki no Souma,8.12,69,2015
11597,Nisemonogatari,8.12,291,2012
51122,Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.12,1086,2024
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.11,108,2014
15059,Initial D Fifth Stage,8.11,1586,2012
1604,Katekyou Hitman Reborn!,8.12,425,2006
1827,Seirei no Moribito,8.12,1181,2007
14713,Kamisama Hajimemashita,8.12,323,2012
8129,Kuragehime,8.11,1052,2010
49709,Fumetsu no Anata e Season 2,8.11,832,2022
50416,Skip to Loafer,8.11,819,2023
18689,Diamond no Ace,8.11,1048,2013
239,Gankutsuou,8.11,1028,2004
121,Fullmetal Alchemist,8.11,85,2003
53411,Buddy Daddies,8.1,794,2023
2581,Kidou Senshi Gundam 00,8.1,1186,2007
50380,Paripi Koumei,8.1,835,2022
36296,Hinamatsuri,8.11,447,2018
52347,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",8.1,599,2023
16918,Gin no Saji,8.09,887,2013
52826,Tsurune: Tsunagari no Issha,8.09,2977,2023
30831,Kono Subarashii Sekai ni Shukufuku wo!,8.09,38,2016
6746,Durarara!!,8.09,96,2010
54789,Boku no Hero Academia 7th Season,8.09,606,2024
57524,Make Heroine ga Oosugiru!,8.09,895,2024
